% Model,Comsol Modeling.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 27 2025, 03:26"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=680,ec.Z11 (Ω) @ freq=680
100,100,-2,0.03589835750703745-3.395096306359132E-5i,0.1794917936002974-1.6975482105405015E-4i
100,96,-2,0.035898357186791956-3.395096276071833E-5i,0.1794917936002974-1.6975482105405012E-4i
97.29965511388943,96.91150112033716,-2,0.03589835728147426-3.395096285026435E-5i,0.17949179360029738-1.6975482105405012E-4i
100,100,-7,0.035898356981760755-3.395096256680956E-5i,0.1794917936002974-1.6975482105405012E-4i
96,100,-2,0.0358983575452449-3.39509630997261E-5i,0.1794917936002974-1.6975482105405015E-4i
99.99999999999999,91.99999999999997,-2,0.03589835626590095-3.395096188978334E-5i,0.1794917936002974-1.6975482105405012E-4i
97.02411831364554,93.86473974868002,-2,0.03589835681370212-3.395096240786768E-5i,0.17949179360029738-1.6975482105405012E-4i
99.99999999999999,93.32329609359608,-7,0.035898355785319296-3.3950961435272045E-5i,0.17949179360029738-1.6975482105405012E-4i
100,90.66164804679805,-4.5,0.03589835470963818-3.395096041794383E-5i,0.17949179360029738-1.6975482105405012E-4i
96.63539210980747,89.90319711370616,-2,0.035898355512613674-3.3950961177359945E-5i,0.17949179360029735-1.6975482105405012E-4i
100.00000000000003,88.00000000000001,-2,0.03589835429366906-3.395096002454E-5i,0.1794917936002974-1.6975482105405015E-4i
95.6587103165347,94.91175677616985,-7,0.035898356334886694-3.395096195502679E-5i,0.1794917936002974-1.6975482105405012E-4i
93.73467688218989,96.30980752221316,-2,0.035898357332518956-3.395096289853996E-5i,0.17949179360029738-1.6975482105405012E-4i
93.58101462851664,91.88357791768232,-2,0.03589835630710494-3.39509619287521E-5i,0.17949179360029735-1.6975482105405012E-4i
96.11395465859938,91.78641671762843,-4.499999999999968,0.03589835547408081-3.395096114091734E-5i,0.1794917936002974-1.6975482105405012E-4i
93.32330637996576,100,-6.999999999999999,0.03589835698028838-3.395096256541701E-5i,0.17949179360029738-1.6975482105405012E-4i
91.99999999999999,100,-2,0.035898357685884605-3.395096323273646E-5i,0.1794917936002974-1.6975482105405015E-4i
90.66165318998287,100,-4.5,0.035898357261569175-3.395096283143902E-5i,0.17949179360029738-1.6975482105405012E-4i
88,100,-2,0.035898357573098255-3.3950963126068446E-5i,0.1794917936002974-1.6975482105405015E-4i
89.52572514978891,96.52143565296223,-2,0.03589835737758701-3.3950962941163214E-5i,0.17949179360029738-1.6975482105405012E-4i
90.65153020677882,93.61027858938905,-2,0.035898356719523926-3.395096231879841E-5i,0.17949179360029738-1.6975482105405012E-4i
100,86.6207001069764,-7,0.03589834999900309-3.395095596284868E-5i,0.17949179360029738-1.6975482105405012E-4i
100.00000000000003,84.00000000000003,-2.0000000000000004,0.03589835010844756-3.395095606635606E-5i,0.1794917936002974-1.6975482105405012E-4i
96.53589838486225,86.00000000000003,-2,0.035898352515203284-3.39509583425514E-5i,0.17949179360029738-1.6975482105405012E-4i
84,100,-2,0.035898357591821306-3.3950963143775826E-5i,0.1794917936002974-1.6975482105405015E-4i
85.85639114056366,96.56812931794116,-2,0.03589835738654669-3.395096294963689E-5i,0.17949179360029738-1.6975482105405012E-4i
82,96.53589838486224,-2,0.035898357348482256-3.3950962913637327E-5i,0.17949179360029738-1.6975482105405012E-4i
86.62072311103262,100,-6.999999999999999,0.0358983570158047-3.395096259900667E-5i,0.17949179360029735-1.6975482105405012E-4i
93.11912579884412,87.78038120661208,-2,0.03589835416667662-3.3950959904436555E-5i,0.17949179360029735-1.6975482105405012E-4i
95.20379100355319,89.70809368657686,-7,0.03589835369733897-3.395095946055925E-5i,0.17949179360029743-1.6975482105405012E-4i
89.69355922574732,89.85356838763325,-2,0.035898355427434865-3.395096109680189E-5i,0.17949179360029738-1.6975482105405012E-4i
89.59932221662788,93.73766664881231,-7,0.03589835610057021-3.395096173342134E-5i,0.17949179360029746-1.6975482105405012E-4i
87.64409799547643,93.34548299975327,-2,0.03589835675487292-3.3950962352229784E-5i,0.17949179360029738-1.6975482105405012E-4i
100,80,-2,0.035898341411334654-3.395094784103942E-5i,0.1794917936002974-1.6975482105405018E-4i
96.53589838486224,82.00000000000001,-2,0.03589834655843146-3.395095270891931E-5i,0.17949179360029738-1.6975482105405012E-4i
100,79.98479059516539,-7,0.03589833171619108-3.395093867183264E-5i,0.17949179360029738-1.6975482105405012E-4i
100,76,-2,0.03589832414012769-3.395093150675143E-5i,0.1794917936002974-1.6975482105405012E-4i
96.53589838486224,78,-2,0.03589833405224478-3.3950940881161426E-5i,0.17949179360029738-1.6975482105405012E-4i
100,72,-1.9999999999999998,0.03589828920016921-3.395089846219667E-5i,0.1794917936002974-1.6975482105405015E-4i
100.00000000000001,73.30707035341077,-7,0.0358982728346807-3.39508829844942E-5i,0.17949179360029738-1.6975482105405012E-4i
96.53589838486224,74,-2,0.035898310072430335-3.395091820219081E-5i,0.17949179360029735-1.6975482105405012E-4i
100,70.65353517670539,-4.5,0.035898235733156654-3.395084789563335E-5i,0.17949179360029738-1.6975482105405012E-4i
96.53589838486224,70,-2,0.03589826099296612-3.395087178516253E-5i,0.17949179360029738-1.6975482105405012E-4i
100.00000000000001,68,-2.0000000000000004,0.035898219081062936-3.395083214687331E-5i,0.1794917936002974-1.6975482105405015E-4i
94.43766803303114,83.20643388273058,-7,0.03589834337147749-3.395094969484948E-5i,0.17949179360029743-1.6975482105405012E-4i
93.06449478382726,83.92998035111347,-2,0.03589834992197704-3.395095589000112E-5i,0.17949179360029738-1.6975482105405012E-4i
93.07179676972447,80,-2,0.03589834150337145-3.3950947928083445E-5i,0.17949179360029738-1.6975482105405012E-4i
89.7001650888874,81.96721101473078,-2,0.03589834628354472-3.3950952448944466E-5i,0.17949179360029738-1.6975482105405012E-4i
80,100,-2,0.03589835761277605-3.395096316359387E-5i,0.1794917936002974-1.6975482105405018E-4i
76.00000000000003,100.00000000000003,-2.0000000000000004,0.03589835755011126-3.395096310432853E-5i,0.1794917936002974-1.6975482105405015E-4i
79.98478523297267,100.00000000000001,-7.000000000000001,0.03589835708043134-3.3950962660127535E-5i,0.17949179360029738-1.6975482105405012E-4i
78.00000000000001,96.53589838486225,-2,0.03589835728821216-3.395096285663673E-5i,0.17949179360029735-1.6975482105405012E-4i
