% Model,Comsol Modeling.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 27 2025, 03:34"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=900,ec.Z11 (Ω) @ freq=900
100,100,-2,0.03589833336952737-4.493506795853432E-5i,0.17949167291274273-2.246753473845543E-4i
100,96,-2,0.035898333049282076-4.493506755767325E-5i,0.17949167291274273-2.2467534738455434E-4i
97.29965511388943,96.91150112033716,-2,0.03589833314396435-4.4935067676190026E-5i,0.17949167291274273-2.2467534738455436E-4i
100,100,-7,0.03589833284425109-4.493506730102956E-5i,0.17949167291274273-2.2467534738455434E-4i
96,100,-2,0.03589833340773482-4.493506800635977E-5i,0.17949167291274273-2.246753473845543E-4i
99.99999999999999,91.99999999999997,-2,0.035898332128391726-4.493506640496597E-5i,0.17949167291274273-2.2467534738455434E-4i
97.02411831364554,93.86473974868002,-2,0.03589833267619249-4.4935067090665396E-5i,0.17949167291274273-2.2467534738455436E-4i
99.99999999999999,93.32329609359608,-7,0.03589833164781042-4.493506580340732E-5i,0.17949167291274273-2.2467534738455436E-4i
100,90.66164804679805,-4.5,0.035898330572129954-4.493506445694436E-5i,0.17949167291274273-2.2467534738455436E-4i
96.63539210980747,89.90319711370616,-2,0.035898331375104904-4.493506546205327E-5i,0.17949167291274273-2.246753473845544E-4i
100.00000000000003,88.00000000000001,-2,0.03589833015616114-4.493506393626319E-5i,0.17949167291274273-2.246753473845543E-4i
95.6587103165347,94.91175677616985,-7,0.03589833219737741-4.493506649131751E-5i,0.1794916729127428-2.246753473845544E-4i
93.73467688218989,96.30980752221316,-2,0.035898333195009006-4.4935067740084215E-5i,0.17949167291274276-2.246753473845544E-4i
93.58101462851664,91.88357791768232,-2,0.035898332169595655-4.4935066456542156E-5i,0.17949167291274273-2.246753473845544E-4i
96.11395465859938,91.78641671762843,-4.499999999999968,0.035898331336572095-4.493506541382049E-5i,0.1794916729127428-2.246753473845544E-4i
93.32330637996576,100,-6.999999999999999,0.035898332842778685-4.493506729918646E-5i,0.17949167291274273-2.2467534738455436E-4i
91.99999999999999,100,-2,0.03589833354837441-4.4935068182402706E-5i,0.17949167291274273-2.246753473845543E-4i
90.66165318998287,100,-4.5,0.03589833312405926-4.4935067651274125E-5i,0.17949167291274273-2.2467534738455436E-4i
88,100,-2,0.035898333435588126-4.493506804122456E-5i,0.17949167291274273-2.246753473845543E-4i
89.52572514978891,96.52143565296223,-2,0.035898333240077004-4.493506779649721E-5i,0.17949167291274273-2.2467534738455436E-4i
90.65153020677882,93.61027858938905,-2,0.03589833258201431-4.4935066972779545E-5i,0.17949167291274273-2.2467534738455436E-4i
100,86.6207001069764,-7,0.035898325861498055-4.493505856049891E-5i,0.17949167291274273-2.2467534738455436E-4i
100.00000000000003,84.00000000000003,-2.0000000000000004,0.035898325970942446-4.493505869749388E-5i,0.17949167291274273-2.2467534738455434E-4i
96.53589838486225,86.00000000000003,-2,0.03589832837769652-4.4935061710103305E-5i,0.17949167291274273-2.2467534738455436E-4i
84,100,-2,0.03589833345431119-4.4935068064660884E-5i,0.17949167291274273-2.246753473845543E-4i
85.85639114056366,96.56812931794116,-2,0.03589833324903669-4.49350678077123E-5i,0.17949167291274273-2.2467534738455436E-4i
82,96.53589838486224,-2,0.03589833321097225-4.493506776006592E-5i,0.17949167291274273-2.2467534738455436E-4i
86.62072311103262,100,-6.999999999999999,0.03589833287829496-4.493506734364327E-5i,0.17949167291274273-2.246753473845544E-4i
93.11912579884412,87.78038120661208,-2,0.035898330029168764-4.493506377730284E-5i,0.17949167291274273-2.246753473845544E-4i
95.20379100355319,89.70809368657686,-7,0.035898329559831514-4.493506318981867E-5i,0.17949167291274282-2.2467534738455436E-4i
89.69355922574732,89.85356838763325,-2,0.03589833128992616-4.493506535543233E-5i,0.17949167291274276-2.246753473845544E-4i
89.59932221662788,93.73766664881231,-7,0.03589833196306111-4.4935066198016425E-5i,0.17949167291274282-2.2467534738455428E-4i
87.64409799547643,93.34548299975327,-2,0.03589833261736331-4.4935067017026974E-5i,0.17949167291274273-2.2467534738455436E-4i
100,80,-2,0.03589831727383538-4.4935047811052625E-5i,0.17949167291274273-2.246753473845543E-4i
96.53589838486224,82.00000000000001,-2,0.03589832242092867-4.49350542538305E-5i,0.17949167291274273-2.2467534738455436E-4i
100,79.98479059516539,-7,0.035898307578698295-4.493503567534601E-5i,0.17949167291274273-2.2467534738455436E-4i
100,76,-2,0.035898300002639945-4.493502619215642E-5i,0.17949167291274273-2.2467534738455434E-4i
