% Model,Comsol Modeling.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 27 2025, 03:33"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=860,ec.Z11 (Ω) @ freq=860
100,100,-2,0.03589833825810752-4.293795967426852E-5i,0.17949169735564405-2.1468980562580904E-4i
100,96,-2,0.03589833793786213-4.293795929122338E-5i,0.17949169735564405-2.1468980562580904E-4i
97.29965511388943,96.91150112033716,-2,0.035898338032544434-4.293795940447276E-5i,0.17949169735564402-2.1468980562580904E-4i
100,100,-7,0.035898337732831125-4.293795904598597E-5i,0.17949169735564405-2.1468980562580904E-4i
96,100,-2,0.0358983382963149-4.293795971996833E-5i,0.17949169735564405-2.1468980562580904E-4i
99.99999999999999,91.99999999999997,-2,0.03589833701697162-4.29379581897474E-5i,0.17949169735564405-2.1468980562580904E-4i
97.02411831364554,93.86473974868002,-2,0.035898337564772495-4.293795884497131E-5i,0.17949169735564402-2.1468980562580907E-4i
99.99999999999999,93.32329609359608,-7,0.035898336536390275-4.293795761492458E-5i,0.17949169735564402-2.1468980562580904E-4i
100,90.66164804679805,-4.5,0.035898335460709696-4.293795632830426E-5i,0.17949169735564402-2.1468980562580904E-4i
96.63539210980747,89.90319711370616,-2,0.03589833626368472-4.293795728874171E-5i,0.179491697355644-2.146898056258091E-4i
100.00000000000003,88.00000000000001,-2,0.03589833504474077-4.293795583076431E-5i,0.17949169735564405-2.1468980562580904E-4i
95.6587103165347,94.91175677616985,-7,0.03589833708595735-4.293795827226107E-5i,0.179491697355644-2.1468980562580912E-4i
93.73467688218989,96.30980752221316,-2,0.03589833808358906-4.293795946552722E-5i,0.179491697355644-2.146898056258091E-4i
93.58101462851664,91.88357791768232,-2,0.0358983370581756-4.29379582390313E-5i,0.179491697355644-2.146898056258091E-4i
96.11395465859938,91.78641671762843,-4.499999999999968,0.035898336225151935-4.29379572426527E-5i,0.179491697355644-2.1468980562580912E-4i
93.32330637996576,100,-6.999999999999999,0.03589833773135872-4.293795904422491E-5i,0.17949169735564402-2.1468980562580904E-4i
91.99999999999999,100,-2,0.03589833843695449-4.293795988818716E-5i,0.17949169735564405-2.1468980562580904E-4i
90.66165318998287,100,-4.5,0.0358983380126393-4.293795938066432E-5i,0.17949169735564402-2.1468980562580904E-4i
88,100,-2,0.03589833832416825-4.2937959753283695E-5i,0.17949169735564405-2.1468980562580904E-4i
89.52572514978891,96.52143565296223,-2,0.03589833812865706-4.293795951943299E-5i,0.17949169735564402-2.1468980562580907E-4i
90.65153020677882,93.61027858938905,-2,0.03589833747059434-4.293795873232492E-5i,0.17949169735564402-2.1468980562580904E-4i
100,86.6207001069764,-7,0.03589833075007714-4.293795069392232E-5i,0.17949169735564402-2.1468980562580904E-4i
100.00000000000003,84.00000000000003,-2.0000000000000004,0.035898330859521495-4.293795082482857E-5i,0.17949169735564405-2.1468980562580904E-4i
