% Model,Comsol Modeling.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 27 2025, 02:45"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=100,ec.Z11 (Ω) @ freq=100
100,100,-2,0.035898388921846776-4.9927930550233415E-6i,0.1794919506743488-2.4963966118660453E-5i
100,96,-2,0.035898388601600995-4.99279301048315E-6i,0.17949195067434884-2.4963966118660456E-5i
97.29965511388943,96.91150112033716,-2,0.03589838869628339-4.992793023651697E-6i,0.17949195067434884-2.496396611866046E-5i
100,100,-7,0.03589838839656965-4.992792981967138E-6i,0.17949195067434884-2.4963966118660456E-5i
96,100,-2,0.03589838896005423-4.992793060337276E-6i,0.1794919506743488-2.4963966118660453E-5i
99.99999999999999,91.99999999999997,-2,0.035898387680709125-4.992792882404355E-6i,0.17949195067434884-2.4963966118660456E-5i
97.02411831364554,93.86473974868002,-2,0.03589838822851081-4.992792958593303E-6i,0.17949195067434884-2.496396611866046E-5i
99.99999999999999,93.32329609359608,-7,0.03589838720012715-4.992792815564409E-6i,0.17949195067434884-2.496396611866046E-5i
100,90.66164804679805,-4.5,0.03589838612444505-4.992792665957188E-6i,0.17949195067434884-2.496396611866046E-5i
96.63539210980747,89.90319711370616,-2,0.035898386927421186-4.992792777636115E-6i,0.17949195067434884-2.4963966118660463E-5i
100.00000000000003,88.00000000000001,-2,0.03589838570847552-4.992792608103625E-6i,0.1794919506743488-2.4963966118660453E-5i
95.6587103165347,94.91175677616985,-7,0.03589838774969499-4.992792891998996E-6i,0.17949195067434878-2.4963966118660463E-5i
93.73467688218989,96.30980752221316,-2,0.0358983887473281-4.992793030751061E-6i,0.1794919506743488-2.4963966118660463E-5i
93.58101462851664,91.88357791768232,-2,0.035898387721913165-4.992792888135062E-6i,0.17949195067434884-2.4963966118660463E-5i
96.11395465859938,91.78641671762843,-4.499999999999968,0.03589838688888832-4.9927927722769166E-6i,0.17949195067434878-2.4963966118660463E-5i
93.32330637996576,100,-6.999999999999999,0.03589838839509724-4.99279298176235E-6i,0.17949195067434884-2.496396611866046E-5i
91.99999999999999,100,-2,0.03589838910069401-4.992793079897636E-6i,0.1794919506743488-2.4963966118660453E-5i
90.66165318998287,100,-4.5,0.03589838867637824-4.992793020883263E-6i,0.17949195067434884-2.496396611866046E-5i
88,100,-2,0.03589838898790757-4.992793064211152E-6i,0.1794919506743488-2.4963966118660453E-5i
89.52572514978891,96.52143565296223,-2,0.035898388792396145-4.992793037019179E-6i,0.17949195067434884-2.496396611866046E-5i
90.65153020677882,93.61027858938905,-2,0.03589838813433247-4.992792945494859E-6i,0.17949195067434884-2.496396611866046E-5i
100,86.6207001069764,-7,0.03589838141380585-4.9927920107955735E-6i,0.17949195067434884-2.496396611866046E-5i
100.00000000000003,84.00000000000003,-2.0000000000000004,0.03589838152325039-4.992792026017257E-6i,0.17949195067434884-2.4963966118660456E-5i
96.53589838486225,86.00000000000003,-2,0.035898383930008174-4.9927923607521535E-6i,0.17949195067434884-2.496396611866046E-5i
84,100,-2,0.03589838900663063-4.992793066815179E-6i,0.1794919506743488-2.4963966118660453E-5i
85.85639114056366,96.56812931794116,-2,0.03589838880135583-4.992793038265303E-6i,0.17949195067434884-2.496396611866046E-5i
82,96.53589838486224,-2,0.035898388763291385-4.992793032971256E-6i,0.17949195067434884-2.496396611866046E-5i
86.62072311103262,100,-6.999999999999999,0.03589838843061353-4.992792986702E-6i,0.17949195067434884-2.4963966118660463E-5i
93.11912579884412,87.78038120661208,-2,0.03589838558148296-4.992792590441343E-6i,0.17949195067434884-2.4963966118660463E-5i
95.20379100355319,89.70809368657686,-7,0.03589838511214493-4.992792525165213E-6i,0.17949195067434875-2.4963966118660463E-5i
89.69355922574732,89.85356838763325,-2,0.035898386842242336-4.992792765789343E-6i,0.1794919506743488-2.4963966118660463E-5i
89.59932221662788,93.73766664881231,-7,0.03589838751537826-4.992792859409933E-6i,0.17949195067434875-2.4963966118660463E-5i
87.64409799547643,93.34548299975327,-2,0.035898388169681536-4.992792950411248E-6i,0.17949195067434884-2.496396611866046E-5i
100,80,-2,0.035898372826129836-4.992790816410803E-6i,0.17949195067434878-2.4963966118660453E-5i
96.53589838486224,82.00000000000001,-2,0.03589837797323114-4.992791532276119E-6i,0.17949195067434884-2.496396611866046E-5i
100,79.98479059516539,-7,0.035898363130977794-4.992789467996872E-6i,0.17949195067434884-2.496396611866046E-5i
100,76,-2,0.035898355554907724-4.992788414307529E-6i,0.17949195067434884-2.4963966118660456E-5i
96.53589838486224,78,-2,0.03589836546703355-4.992789792898441E-6i,0.17949195067434884-2.496396611866046E-5i
100,72,-1.9999999999999998,0.035898320614918676-4.9927835548099246E-6i,0.1794919506743488-2.4963966118660453E-5i
100.00000000000001,73.30707035341077,-7,0.035898304249415904-4.992781278675237E-6i,0.17949195067434884-2.496396611866046E-5i
96.53589838486224,74,-2,0.0358983414871981-4.992786457752787E-6i,0.17949195067434884-2.4963966118660463E-5i
