% Model,Comsol Modeling.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 27 2025, 03:29"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=740,ec.Z11 (Ω) @ freq=740
100,100,-2,0.035898351590677745-3.6946630185829655E-5i,0.17949176401849753-1.8473315717136614E-4i
100,96,-2,0.035898351270432276-3.6946629856232574E-5i,0.17949176401849753-1.8473315717136614E-4i
97.29965511388943,96.91150112033716,-2,0.0358983513651146-3.694662995367977E-5i,0.17949176401849753-1.847331571713661E-4i
100,100,-7,0.03589835106540117-3.6946629645214326E-5i,0.17949176401849753-1.8473315717136614E-4i
96,100,-2,0.03589835162888517-3.694663022515277E-5i,0.17949176401849753-1.8473315717136614E-4i
99.99999999999999,91.99999999999997,-2,0.03589835034954141-3.694662890845051E-5i,0.17949176401849753-1.8473315717136614E-4i
97.02411831364554,93.86473974868002,-2,0.035898350897342494-3.694662947224812E-5i,0.1794917640184975-1.847331571713661E-4i
99.99999999999999,93.32329609359608,-7,0.03589834986895988-3.6946628413835374E-5i,0.17949176401849753-1.847331571713661E-4i
100,90.66164804679805,-4.5,0.035898348793278884-3.6946627306743106E-5i,0.17949176401849753-1.847331571713661E-4i
96.63539210980747,89.90319711370616,-2,0.03589834959625426-3.6946628133166345E-5i,0.1794917640184975-1.8473315717136609E-4i
100.00000000000003,88.00000000000001,-2,0.03589834837730987-3.694662687862725E-5i,0.17949176401849753-1.8473315717136614E-4i
95.6587103165347,94.91175677616985,-7,0.03589835041852718-3.694662897945075E-5i,0.17949176401849748-1.8473315717136609E-4i
93.73467688218989,96.30980752221316,-2,0.03589835141615926-3.694663000621495E-5i,0.17949176401849748-1.8473315717136609E-4i
93.58101462851664,91.88357791768232,-2,0.0358983503907454-3.6946628950857705E-5i,0.1794917640184975-1.8473315717136609E-4i
96.11395465859938,91.78641671762843,-4.499999999999968,0.035898349557721414-3.694662809350834E-5i,0.17949176401849748-1.8473315717136609E-4i
93.32330637996576,100,-6.999999999999999,0.035898351063928795-3.694662964369891E-5i,0.17949176401849753-1.847331571713661E-4i
91.99999999999999,100,-2,0.03589835176952482-3.694663036989928E-5i,0.17949176401849753-1.8473315717136614E-4i
90.66165318998287,100,-4.5,0.035898351345209516-3.694662993319343E-5i,0.17949176401849753-1.847331571713661E-4i
88,100,-2,0.03589835165673852-3.6946630253819486E-5i,0.17949176401849753-1.8473315717136614E-4i
89.52572514978891,96.52143565296223,-2,0.03589835146122727-3.694663005259903E-5i,0.1794917640184975-1.847331571713661E-4i
90.65153020677882,93.61027858938905,-2,0.03589835080316426-3.694662937531971E-5i,0.17949176401849756-1.847331571713661E-4i
100,86.6207001069764,-7,0.035898344082644564-3.69466224585521E-5i,0.17949176401849753-1.847331571713661E-4i
100.00000000000003,84.00000000000003,-2.0000000000000004,0.03589834419208899-3.694662257119248E-5i,0.17949176401849753-1.8473315717136614E-4i
96.53589838486225,86.00000000000003,-2,0.03589834659884435-3.69466250482282E-5i,0.1794917640184975-1.847331571713661E-4i
84,100,-2,0.03589835167546157-3.694663027308929E-5i,0.17949176401849753-1.8473315717136614E-4i
85.85639114056366,96.56812931794116,-2,0.03589835147018699-3.6946630061820386E-5i,0.1794917640184975-1.847331571713661E-4i
82,96.53589838486224,-2,0.035898351432122506-3.6946630022644394E-5i,0.1794917640184975-1.847331571713661E-4i
86.62072311103262,100,-6.999999999999999,0.035898351099445044-3.694662968025233E-5i,0.1794917640184975-1.8473315717136609E-4i
93.11912579884412,87.78038120661208,-2,0.03589834825031745-3.694662674792655E-5i,0.1794917640184975-1.8473315717136609E-4i
95.20379100355319,89.70809368657686,-7,0.03589834778097988-3.694662626488365E-5i,0.17949176401849748-1.8473315717136609E-4i
89.69355922574732,89.85356838763325,-2,0.03589834951107546-3.694662804550032E-5i,0.17949176401849748-1.8473315717136609E-4i
89.59932221662788,93.73766664881231,-7,0.03589835018421072-3.6946628738291955E-5i,0.17949176401849748-1.847331571713661E-4i
87.64409799547643,93.34548299975327,-2,0.03589835083851324-3.694662941170097E-5i,0.1794917640184975-1.847331571713661E-4i
100,80,-2,0.035898335494977535-3.694661362011404E-5i,0.17949176401849753-1.8473315717136614E-4i
96.53589838486224,82.00000000000001,-2,0.03589834064207347-3.6946618917511874E-5i,0.17949176401849753-1.847331571713661E-4i
100,79.98479059516539,-7,0.03589832579983551-3.6946603641861216E-5i,0.17949176401849753-1.847331571713661E-4i
100,76,-2,0.035898318223773366-3.6946595844568253E-5i,0.17949176401849753-1.8473315717136614E-4i
96.53589838486224,78,-2,0.03589832813588884-3.694660604613038E-5i,0.1794917640184975-1.847331571713661E-4i
100,72,-1.9999999999999998,0.035898283283820706-3.6946559884323516E-5i,0.17949176401849753-1.8473315717136614E-4i
100.00000000000001,73.30707035341077,-7,0.035898266918334865-3.694654304094413E-5i,0.17949176401849756-1.847331571713661E-4i
96.53589838486224,74,-2,0.03589830415607836-3.6946581366078205E-5i,0.1794917640184975-1.8473315717136609E-4i
100,70.65353517670539,-4.5,0.035898229816816944-3.694650485601357E-5i,0.17949176401849753-1.847331571713661E-4i
96.53589838486224,70,-2,0.035898255076622254-3.6946530853438087E-5i,0.1794917640184975-1.847331571713661E-4i
100.00000000000001,68,-2.0000000000000004,0.035898213164725946-3.6946487717659826E-5i,0.17949176401849753-1.8473315717136614E-4i
94.43766803303114,83.20643388273058,-7,0.03589833745512006-3.694661563749534E-5i,0.17949176401849748-1.8473315717136609E-4i
93.06449478382726,83.92998035111347,-2,0.03589834400561854-3.69466223792769E-5i,0.17949176401849753-1.847331571713661E-4i
93.07179676972447,80,-2,0.03589833558701427-3.694661371483838E-5i,0.1794917640184975-1.847331571713661E-4i
89.7001650888874,81.96721101473078,-2,0.0358983403671868-3.694661863459818E-5i,0.1794917640184975-1.847331571713661E-4i
80,100,-2,0.035898351696416274-3.69466302946559E-5i,0.17949176401849753-1.8473315717136614E-4i
76.00000000000003,100.00000000000003,-2.0000000000000004,0.035898351633751456-3.694663023016122E-5i,0.17949176401849753-1.8473315717136614E-4i
79.98478523297267,100.00000000000001,-7.000000000000001,0.03589835116407164-3.694662974676613E-5i,0.17949176401849753-1.847331571713661E-4i
78.00000000000001,96.53589838486225,-2,0.03589835137185244-3.694662996061441E-5i,0.1794917640184975-1.8473315717136609E-4i
83.58496633876146,93.136399262308,-2,0.03589835085728849-3.69466294310245E-5i,0.17949176401849753-1.847331571713661E-4i
82.66910282654706,94.12080114401562,-7,0.0358983502147078-3.694662876967959E-5i,0.17949176401849748-1.8473315717136609E-4i
79.93145162477641,93.14745413614207,-2,0.03589835078717719-3.6946629358865866E-5i,0.1794917640184975-1.847331571713661E-4i
81.60074815670103,89.67013240847979,-2,0.03589834947122113-3.6946628004482146E-5i,0.1794917640184975-1.847331571713661E-4i
89.53191514211429,86.71816523543794,-7,0.03589834449612602-3.694662288410784E-5i,0.17949176401849748-1.8473315717136609E-4i
90.01480740939199,85.76189297337386,-2,0.03589834636756623-3.6946624810196476E-5i,0.17949176401849753-1.8473315717136614E-4i
86.9077490160029,83.68528790747851,-2,0.03589834366476151-3.694662202846635E-5i,0.1794917640184975-1.847331571713661E-4i
87.06314187831437,86.92449858027635,-2,0.03589834750638161-3.694662598226673E-5i,0.17949176401849753-1.847331571713661E-4i
84.766694818482,89.2476440543889,-7,0.035898347214792445-3.6946625682162746E-5i,0.17949176401849748-1.8473315717136609E-4i
85.3140180784869,89.79835359065368,-2,0.0358983495580035-3.694662809379872E-5i,0.17949176401849753-1.8473315717136614E-4i
83.58765237604024,85.87166035959018,-2,0.03589834646628211-3.6946624911795E-5i,0.17949176401849748-1.8473315717136609E-4i
