% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 18:20"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=700,ec.Z11 (Ω) @ freq=700
100,100,-2,1.4359355824678627E-6-5.5919283212871285E-11i,0.00717967815494395-2.7959642551204845E-7i
100,96,-2,1.435935569658029E-6-5.5919282714021056E-11i,0.007179678154943949-2.7959642551204845E-7i
97.29965511388943,96.91150112033716,-2,1.4359355734453249E-6-5.5919282861508794E-11i,0.007179678154943949-2.7959642551204845E-7i
100,100,-7,1.4359355614567752E-6-5.591928239464171E-11i,0.007179678154943949-2.7959642551204845E-7i
96,100,-2,1.4359355839961587E-6-5.5919283272387305E-11i,0.00717967815494395-2.7959642551204845E-7i
99.99999999999999,91.99999999999997,-2,1.4359355328223545E-6-5.591928127953855E-11i,0.007179678154943949-2.7959642551204845E-7i
97.02411831364554,93.86473974868002,-2,1.4359355547344185E-6-5.591928213285456E-11i,0.00717967815494395-2.795964255120484E-7i
99.99999999999999,93.32329609359608,-7,1.4359355135990739E-6-5.591928053093111E-11i,0.007179678154943949-2.7959642551204845E-7i
100,90.66164804679805,-4.5,1.4359354705717881E-6-5.591927885533014E-11i,0.007179678154943949-2.7959642551204845E-7i
96.63539210980747,89.90319711370616,-2,1.4359355026908355E-6-5.5919280106134256E-11i,0.007179678154943951-2.795964255120484E-7i
100.00000000000003,88.00000000000001,-2,1.4359354539330075E-6-5.5919278207370305E-11i,0.00717967815494395-2.7959642551204845E-7i
95.6587103165347,94.91175677616985,-7,1.4359355355817898E-6-5.5919281386998606E-11i,0.007179678154943952-2.7959642551204835E-7i
93.73467688218989,96.30980752221316,-2,1.435935575487112E-6-5.591928294102152E-11i,0.007179678154943951-2.7959642551204835E-7i
93.58101462851664,91.88357791768232,-2,1.435935534470514E-6-5.591928134372231E-11i,0.007179678154943951-2.795964255120484E-7i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359355011495208E-6-5.5919280046111226E-11i,0.007179678154943952-2.7959642551204835E-7i
93.32330637996576,100,-6.999999999999999,1.4359355613978804E-6-5.5919282392348106E-11i,0.007179678154943949-2.7959642551204845E-7i
91.99999999999999,100,-2,1.435935589621753E-6-5.5919283491463434E-11i,0.00717967815494395-2.7959642551204845E-7i
90.66165318998287,100,-4.5,1.4359355726491224E-6-5.591928283050249E-11i,0.007179678154943949-2.7959642551204845E-7i
88,100,-2,1.4359355851102984E-6-5.591928331577503E-11i,0.00717967815494395-2.7959642551204845E-7i
89.52572514978891,96.52143565296223,-2,1.4359355772898365E-6-5.591928301122473E-11i,0.00717967815494395-2.795964255120484E-7i
90.65153020677882,93.61027858938905,-2,1.43593555096729E-6-5.591928198615227E-11i,0.007179678154943949-2.795964255120485E-7i
100,86.6207001069764,-7,1.4359352821462152E-6-5.591927151751975E-11i,0.007179678154943949-2.7959642551204845E-7i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.435935286523997E-6-5.591927168800271E-11i,0.007179678154943949-2.7959642551204845E-7i
96.53589838486225,86.00000000000003,-2,1.4359353827943127E-6-5.5919275437033736E-11i,0.00717967815494395-2.795964255120484E-7i
84,100,-2,1.4359355858592187E-6-5.5919283344940034E-11i,0.00717967815494395-2.7959642551204845E-7i
85.85639114056366,96.56812931794116,-2,1.4359355776482253E-6-5.591928302518136E-11i,0.00717967815494395-2.795964255120484E-7i
82,96.53589838486224,-2,1.4359355761256444E-6-5.591928296588779E-11i,0.00717967815494395-2.795964255120484E-7i
86.62072311103262,100,-6.999999999999999,1.4359355628185361E-6-5.591928244767236E-11i,0.00717967815494395-2.795964255120484E-7i
93.11912579884412,87.78038120661208,-2,1.4359354488533028E-6-5.591927800955262E-11i,0.007179678154943951-2.795964255120484E-7i
95.20379100355319,89.70809368657686,-7,1.4359354300797861E-6-5.591927727846012E-11i,0.007179678154943952-2.7959642551204835E-7i
89.69355922574732,89.85356838763325,-2,1.435935499283679E-6-5.591927997345023E-11i,0.007179678154943951-2.7959642551204835E-7i
89.59932221662788,93.73766664881231,-7,1.4359355262091242E-6-5.591928102200114E-11i,0.00717967815494395-2.795964255120483E-7i
87.64409799547643,93.34548299975327,-2,1.4359355523812528E-6-5.591928204121598E-11i,0.00717967815494395-2.795964255120484E-7i
100,80,-2,1.4359349386391691E-6-5.591925814041019E-11i,0.007179678154943951-2.7959642551204845E-7i
96.53589838486224,82.00000000000001,-2,1.4359351445232242E-6-5.5919266158101857E-11i,0.007179678154943949-2.7959642551204845E-7i
100,79.98479059516539,-7,1.4359345508330813E-6-5.591924303817389E-11i,0.007179678154943949-2.7959642551204845E-7i
100,76,-2,1.4359342477902734E-6-5.591923123685296E-11i,0.007179678154943949-2.7959642551204845E-7i
96.53589838486224,78,-2,1.4359346442753117E-6-5.591924667707148E-11i,0.00717967815494395-2.795964255120484E-7i
100,72,-1.9999999999999998,1.4359328501906881E-6-5.591917681047903E-11i,0.00717967815494395-2.7959642551204845E-7i
100.00000000000001,73.30707035341077,-7,1.435932195570566E-6-5.5919151317769995E-11i,0.007179678154943949-2.795964255120485E-7i
96.53589838486224,74,-2,1.4359336850818789E-6-5.591920932343961E-11i,0.007179678154943951-2.795964255120484E-7i
100,70.65353517670539,-4.5,1.4359307115082797E-6-5.5919093524300436E-11i,0.007179678154943949-2.7959642551204845E-7i
96.53589838486224,70,-2,1.435931721901557E-6-5.59191328717953E-11i,0.00717967815494395-2.795964255120484E-7i
100.00000000000001,68,-2.0000000000000004,1.4359300454239325E-6-5.591906758514301E-11i,0.00717967815494395-2.7959642551204845E-7i
94.43766803303114,83.20643388273058,-7,1.4359350170449556E-6-5.591926119374719E-11i,0.007179678154943951-2.7959642551204835E-7i
93.06449478382726,83.92998035111347,-2,1.4359352790651672E-6-5.591927139753534E-11i,0.007179678154943949-2.7959642551204845E-7i
93.07179676972447,80,-2,1.435934942320643E-6-5.591925828377691E-11i,0.00717967815494395-2.795964255120484E-7i
89.7001650888874,81.96721101473078,-2,1.4359351335277462E-6-5.591926572990766E-11i,0.00717967815494395-2.795964255120484E-7i
80,100,-2,1.435935586697403E-6-5.591928337758118E-11i,0.007179678154943951-2.7959642551204845E-7i
76.00000000000003,100.00000000000003,-2.0000000000000004,1.4359355841908098E-6-5.5919283279967594E-11i,0.00717967815494395-2.7959642551204845E-7i
79.98478523297267,100.00000000000001,-7.000000000000001,1.4359355654036E-6-5.5919282548341936E-11i,0.007179678154943949-2.7959642551204845E-7i
78.00000000000001,96.53589838486225,-2,1.4359355737148357E-6-5.5919282872004294E-11i,0.007179678154943951-2.795964255120484E-7i
83.58496633876146,93.136399262308,-2,1.4359355531322619E-6-5.5919282070462287E-11i,0.007179678154943949-2.7959642551204845E-7i
82.66910282654706,94.12080114401562,-7,1.4359355274290094E-6-5.591928106950683E-11i,0.007179678154943952-2.7959642551204835E-7i
79.93145162477641,93.14745413614207,-2,1.4359355503278025E-6-5.591928196124889E-11i,0.00717967815494395-2.795964255120484E-7i
81.60074815670103,89.67013240847979,-2,1.4359354976895077E-6-5.5919279911368816E-11i,0.00717967815494395-2.795964255120484E-7i
89.53191514211429,86.71816523543794,-7,1.435935298685492E-6-5.591927216160481E-11i,0.007179678154943952-2.7959642551204835E-7i
90.01480740939199,85.76189297337386,-2,1.4359353735431779E-6-5.5919275076769024E-11i,0.007179678154943949-2.7959642551204845E-7i
86.9077490160029,83.68528790747851,-2,1.4359352654308757E-6-5.591927086657852E-11i,0.00717967815494395-2.795964255120484E-7i
87.06314187831437,86.92449858027635,-2,1.4359354190958413E-6-5.59192768507152E-11i,0.007179678154943949-2.7959642551204845E-7i
84.766694818482,89.2476440543889,-7,1.4359354074322643E-6-5.591927639650342E-11i,0.007179678154943952-2.7959642551204835E-7i
85.3140180784869,89.79835359065368,-2,1.4359355011608065E-6-5.591928004655073E-11i,0.007179678154943949-2.7959642551204845E-7i
