% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 18:22"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=740,ec.Z11 (Ω) @ freq=740
100,100,-2,1.4359355822127728E-6-5.911467081451818E-11i,0.0071796781536685-2.9557336406015153E-7i
100,96,-2,1.4359355694029376E-6-5.911467028716221E-11i,0.007179678153668501-2.9557336406015153E-7i
97.29965511388943,96.91150112033716,-2,1.4359355731902343E-6-5.91146704430779E-11i,0.007179678153668502-2.9557336406015153E-7i
100,100,-7,1.4359355612016858E-6-5.911466994953262E-11i,0.007179678153668501-2.9557336406015153E-7i
96,100,-2,1.4359355837410686E-6-5.911467087743522E-11i,0.0071796781536685-2.9557336406015153E-7i
99.99999999999999,91.99999999999997,-2,1.4359355325672643E-6-5.91146687707093E-11i,0.007179678153668501-2.9557336406015153E-7i
97.02411831364554,93.86473974868002,-2,1.4359355544793288E-6-5.91146696727863E-11i,0.007179678153668502-2.955733640601516E-7i
99.99999999999999,93.32329609359608,-7,1.4359355133439837E-6-5.911466797932435E-11i,0.007179678153668502-2.9557336406015153E-7i
100,90.66164804679805,-4.5,1.4359354703166976E-6-5.911466620797476E-11i,0.007179678153668502-2.9557336406015153E-7i
96.63539210980747,89.90319711370616,-2,1.4359355024357444E-6-5.911466753025337E-11i,0.0071796781536685025-2.955733640601516E-7i
100.00000000000003,88.00000000000001,-2,1.4359354536779184E-6-5.911466552298863E-11i,0.0071796781536685-2.9557336406015153E-7i
95.6587103165347,94.91175677616985,-7,1.4359355353266993E-6-5.911466888430989E-11i,0.0071796781536685025-2.9557336406015164E-7i
93.73467688218989,96.30980752221316,-2,1.4359355752320212E-6-5.911467052713425E-11i,0.0071796781536685025-2.9557336406015164E-7i
93.58101462851664,91.88357791768232,-2,1.435935534215424E-6-5.911466883856084E-11i,0.0071796781536685025-2.955733640601516E-7i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359355008944311E-6-5.911466746680054E-11i,0.0071796781536685025-2.9557336406015164E-7i
93.32330637996576,100,-6.999999999999999,1.4359355611427905E-6-5.911466994710809E-11i,0.007179678153668502-2.9557336406015153E-7i
91.99999999999999,100,-2,1.4359355893666601E-6-5.911467110902979E-11i,0.0071796781536685-2.9557336406015153E-7i
90.66165318998287,100,-4.5,1.4359355723940306E-6-5.911467041029973E-11i,0.007179678153668502-2.9557336406015153E-7i
88,100,-2,1.435935584855207E-6-5.911467092330218E-11i,0.0071796781536685-2.9557336406015153E-7i
89.52572514978891,96.52143565296223,-2,1.4359355770347443E-6-5.911467060134896E-11i,0.007179678153668502-2.955733640601516E-7i
90.65153020677882,93.61027858938905,-2,1.4359355507121977E-6-5.911466951770089E-11i,0.007179678153668502-2.955733640601515E-7i
100,86.6207001069764,-7,1.4359352818911249E-6-5.91146584508609E-11i,0.007179678153668502-2.9557336406015153E-7i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.435935286268907E-6-5.911465863108578E-11i,0.007179678153668501-2.9557336406015153E-7i
96.53589838486225,86.00000000000003,-2,1.4359353825392223E-6-5.911466259434711E-11i,0.007179678153668502-2.955733640601516E-7i
84,100,-2,1.4359355856041262E-6-5.911467095413368E-11i,0.0071796781536685-2.9557336406015153E-7i
85.85639114056366,96.56812931794116,-2,1.4359355773931335E-6-5.911467061610307E-11i,0.007179678153668502-2.955733640601516E-7i
82,96.53589838486224,-2,1.4359355758705539E-6-5.911467055342149E-11i,0.007179678153668502-2.955733640601516E-7i
86.62072311103262,100,-6.999999999999999,1.4359355625634437E-6-5.911467000559372E-11i,0.0071796781536685025-2.955733640601516E-7i
93.11912579884412,87.78038120661208,-2,1.435935448598212E-6-5.911466531386709E-11i,0.0071796781536685025-2.955733640601516E-7i
95.20379100355319,89.70809368657686,-7,1.4359354298246948E-6-5.91146645409979E-11i,0.007179678153668502-2.9557336406015164E-7i
89.69355922574732,89.85356838763325,-2,1.4359354990285897E-6-5.911466738998746E-11i,0.0071796781536685025-2.9557336406015164E-7i
89.59932221662788,93.73766664881231,-7,1.435935525954033E-6-5.911466849845556E-11i,0.007179678153668499-2.955733640601517E-7i
87.64409799547643,93.34548299975327,-2,1.4359355521261587E-6-5.911466957591102E-11i,0.007179678153668502-2.955733640601516E-7i
100,80,-2,1.4359349383840788E-6-5.911464430934506E-11i,0.0071796781536685-2.9557336406015153E-7i
96.53589838486224,82.00000000000001,-2,1.4359351442681337E-6-5.911465278519044E-11i,0.007179678153668502-2.9557336406015153E-7i
100,79.98479059516539,-7,1.4359345505779925E-6-5.911462834412387E-11i,0.007179678153668502-2.9557336406015153E-7i
