% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 17:49"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=140,ec.Z11 (Ω) @ freq=140
100,100,-2,1.4359355845590602E-6-1.1183856658839984E-11i,0.007179678165399931-5.5919285183738315E-8i
100,96,-2,1.4359355717492255E-6-1.1183856559069932E-11i,0.007179678165399931-5.5919285183738315E-8i
97.29965511388943,96.91150112033716,-2,1.4359355755365213E-6-1.1183856588567489E-11i,0.007179678165399931-5.591928518373831E-8i
100,100,-7,1.435935563547974E-6-1.1183856495194083E-11i,0.007179678165399931-5.5919285183738315E-8i
96,100,-2,1.435935586087356E-6-1.1183856670743188E-11i,0.007179678165399931-5.5919285183738315E-8i
99.99999999999999,91.99999999999997,-2,1.435935534913551E-6-1.1183856272173431E-11i,0.007179678165399931-5.5919285183738315E-8i
97.02411831364554,93.86473974868002,-2,1.4359355568256163E-6-1.1183856442836645E-11i,0.00717967816539993-5.591928518373831E-8i
99.99999999999999,93.32329609359608,-7,1.4359355156902711E-6-1.1183856122451952E-11i,0.007179678165399931-5.591928518373831E-8i
100,90.66164804679805,-4.5,1.4359354726629856E-6-1.1183855787331761E-11i,0.007179678165399931-5.5919285183738315E-8i
96.63539210980747,89.90319711370616,-2,1.4359355047820324E-6-1.1183856037492574E-11i,0.007179678165399929-5.5919285183738315E-8i
100.00000000000003,88.00000000000001,-2,1.4359354560242052E-6-1.1183855657739788E-11i,0.007179678165399931-5.5919285183738315E-8i
95.6587103165347,94.91175677616985,-7,1.4359355376729867E-6-1.1183856293665456E-11i,0.007179678165399928-5.5919285183738315E-8i
93.73467688218989,96.30980752221316,-2,1.4359355775783089E-6-1.1183856604470047E-11i,0.007179678165399929-5.5919285183738315E-8i
93.58101462851664,91.88357791768232,-2,1.43593553656171E-6-1.1183856285010184E-11i,0.007179678165399929-5.5919285183738315E-8i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359355032407194E-6-1.118385602548798E-11i,0.007179678165399928-5.5919285183738315E-8i
93.32330637996576,100,-6.999999999999999,1.4359355634890781E-6-1.1183856494735374E-11i,0.007179678165399931-5.591928518373831E-8i
91.99999999999999,100,-2,1.435935591712948E-6-1.1183856714558394E-11i,0.007179678165399931-5.5919285183738315E-8i
90.66165318998287,100,-4.5,1.4359355747403199E-6-1.1183856582366235E-11i,0.007179678165399931-5.5919285183738315E-8i
88,100,-2,1.435935587201493E-6-1.118385667942071E-11i,0.007179678165399931-5.5919285183738315E-8i
89.52572514978891,96.52143565296223,-2,1.435935579381031E-6-1.1183856618510651E-11i,0.00717967816539993-5.591928518373831E-8i
90.65153020677882,93.61027858938905,-2,1.4359355530584842E-6-1.1183856413496171E-11i,0.007179678165399931-5.5919285183738315E-8i
100,86.6207001069764,-7,1.4359352842374125E-6-1.118385431976969E-11i,0.007179678165399931-5.591928518373831E-8i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.4359352886151928E-6-1.1183854353866259E-11i,0.007179678165399931-5.5919285183738315E-8i
96.53589838486225,86.00000000000003,-2,1.4359353848855085E-6-1.1183855103672465E-11i,0.00717967816539993-5.591928518373831E-8i
