% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 18:09"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=530,ec.Z11 (Ω) @ freq=530
100,100,-2,1.4359355833972092E-6-4.2338885888557287E-11i,0.0071796781595906845-2.1169443659603925E-7i
100,96,-2,1.435935570587375E-6-4.2338885510856434E-11i,0.007179678159590684-2.1169443659603925E-7i
97.29965511388943,96.91150112033716,-2,1.4359355743746704E-6-4.233888562252572E-11i,0.0071796781595906845-2.1169443659603925E-7i
100,100,-7,1.4359355623861241E-6-4.233888526904078E-11i,0.007179678159590684-2.1169443659603925E-7i
96,100,-2,1.435935584925506E-6-4.233888593361953E-11i,0.0071796781595906845-2.1169443659603925E-7i
99.99999999999999,91.99999999999997,-2,1.435935533751702E-6-4.233888442474829E-11i,0.007179678159590684-2.1169443659603925E-7i
97.02411831364554,93.86473974868002,-2,1.4359355556637657E-6-4.233888507083043E-11i,0.0071796781595906845-2.1169443659603925E-7i
99.99999999999999,93.32329609359608,-7,1.4359355145284223E-6-4.2338883857945664E-11i,0.0071796781595906845-2.1169443659603925E-7i
100,90.66164804679805,-4.5,1.435935471501136E-6-4.2338882589276315E-11i,0.007179678159590684-2.1169443659603925E-7i
96.63539210980747,89.90319711370616,-2,1.4359355036201831E-6-4.2338883536313647E-11i,0.007179678159590684-2.1169443659603925E-7i
100.00000000000003,88.00000000000001,-2,1.4359354548623564E-6-4.233888209867808E-11i,0.0071796781595906845-2.1169443659603925E-7i
95.6587103165347,94.91175677616985,-7,1.4359355365111374E-6-4.2338884506111E-11i,0.007179678159590684-2.116944365960392E-7i
93.73467688218989,96.30980752221316,-2,1.4359355764164588E-6-4.233888568272829E-11i,0.007179678159590684-2.1169443659603923E-7i
93.58101462851664,91.88357791768232,-2,1.4359355353998628E-6-4.233888447334463E-11i,0.007179678159590684-2.1169443659603925E-7i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359355020788712E-6-4.233888349086772E-11i,0.007179678159590684-2.116944365960392E-7i
93.32330637996576,100,-6.999999999999999,1.4359355623272276E-6-4.233888526730419E-11i,0.0071796781595906845-2.1169443659603925E-7i
91.99999999999999,100,-2,1.4359355905510968E-6-4.2338886099491335E-11i,0.0071796781595906845-2.1169443659603925E-7i
90.66165318998287,100,-4.5,1.4359355735784672E-6-4.2338885599049494E-11i,0.007179678159590684-2.1169443659603925E-7i
88,100,-2,1.4359355860396437E-6-4.233888596647013E-11i,0.0071796781595906845-2.1169443659603925E-7i
89.52572514978891,96.52143565296223,-2,1.435935578219183E-6-4.2338885735882067E-11i,0.0071796781595906845-2.1169443659603925E-7i
90.65153020677882,93.61027858938905,-2,1.4359355518966343E-6-4.233888495975574E-11i,0.007179678159590684-2.1169443659603925E-7i
100,86.6207001069764,-7,1.4359352830755637E-6-4.23388770335056E-11i,0.0071796781595906845-2.1169443659603925E-7i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.4359352874533448E-6-4.233887716258552E-11i,0.007179678159590684-2.1169443659603925E-7i
96.53589838486225,86.00000000000003,-2,1.4359353837236599E-6-4.233888000113753E-11i,0.0071796781595906845-2.1169443659603925E-7i
84,100,-2,1.4359355867885646E-6-4.233888598855225E-11i,0.0071796781595906845-2.1169443659603925E-7i
85.85639114056366,96.56812931794116,-2,1.4359355785775714E-6-4.2338885746449254E-11i,0.0071796781595906845-2.1169443659603925E-7i
82,96.53589838486224,-2,1.43593557705499E-6-4.2338885701555545E-11i,0.0071796781595906845-2.1169443659603925E-7i
86.62072311103262,100,-6.999999999999999,1.435935563747882E-6-4.23388853091925E-11i,0.007179678159590684-2.1169443659603928E-7i
