% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 18:22"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=750,ec.Z11 (Ω) @ freq=750
100,100,-2,1.4359355821455605E-6-5.991351771462612E-11i,0.0071796781533324345-2.995675986956578E-7i
100,96,-2,1.435935569335725E-6-5.99135171801436E-11i,0.0071796781533324345-2.995675986956578E-7i
97.29965511388943,96.91150112033716,-2,1.4359355731230216E-6-5.991351733816619E-11i,0.0071796781533324345-2.995675986956578E-7i
100,100,-7,1.435935561134475E-6-5.991351683795158E-11i,0.0071796781533324345-2.995675986956578E-7i
96,100,-2,1.4359355836738576E-6-5.99135177783933E-11i,0.0071796781533324345-2.995675986956578E-7i
99.99999999999999,91.99999999999997,-2,1.4359355325000514E-6-5.991351564319815E-11i,0.0071796781533324345-2.995675986956578E-7i
97.02411831364554,93.86473974868002,-2,1.435935554412116E-6-5.991351655746535E-11i,0.0071796781533324345-2.9956759869565773E-7i
99.99999999999999,93.32329609359608,-7,1.4359355132767723E-6-5.991351484111871E-11i,0.0071796781533324345-2.995675986956578E-7i
100,90.66164804679805,-4.5,1.4359354702494853E-6-5.991351304583197E-11i,0.007179678153332434-2.995675986956578E-7i
96.63539210980747,89.90319711370616,-2,1.4359355023685327E-6-5.991351438597928E-11i,0.007179678153332435-2.9956759869565773E-7i
100.00000000000003,88.00000000000001,-2,1.4359354536107066E-6-5.991351235158944E-11i,0.0071796781533324345-2.995675986956578E-7i
95.6587103165347,94.91175677616985,-7,1.4359355352594868E-6-5.991351575833384E-11i,0.007179678153332436-2.995675986956578E-7i
93.73467688218989,96.30980752221316,-2,1.4359355751648085E-6-5.991351742335857E-11i,0.007179678153332435-2.9956759869565773E-7i
93.58101462851664,91.88357791768232,-2,1.4359355341482109E-6-5.991351571196652E-11i,0.007179678153332435-2.9956759869565773E-7i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359355008272195E-6-5.99135143216689E-11i,0.007179678153332436-2.995675986956578E-7i
93.32330637996576,100,-6.999999999999999,1.43593556107558E-6-5.991351683549438E-11i,0.0071796781533324345-2.995675986956578E-7i
91.99999999999999,100,-2,1.4359355892994487E-6-5.991351801311762E-11i,0.0071796781533324345-2.995675986956578E-7i
90.66165318998287,100,-4.5,1.43593557232682E-6-5.991351730494533E-11i,0.007179678153332434-2.995675986956578E-7i
88,100,-2,1.4359355847879945E-6-5.991351782488009E-11i,0.0071796781533324345-2.995675986956578E-7i
89.52572514978891,96.52143565296223,-2,1.4359355769675325E-6-5.991351749857616E-11i,0.0071796781533324345-2.9956759869565773E-7i
90.65153020677882,93.61027858938905,-2,1.4359355506449856E-6-5.991351640028432E-11i,0.007179678153332434-2.995675986956578E-7i
100,86.6207001069764,-7,1.4359352818239132E-6-5.991350518389235E-11i,0.0071796781533324345-2.995675986956578E-7i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.4359352862016944E-6-5.991350536655262E-11i,0.0071796781533324345-2.995675986956578E-7i
96.53589838486225,86.00000000000003,-2,1.4359353824720088E-6-5.991350938337156E-11i,0.0071796781533324345-2.9956759869565773E-7i
84,100,-2,1.4359355855369131E-6-5.99135178561282E-11i,0.0071796781533324345-2.995675986956578E-7i
