% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 18:35"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=990,ec.Z11 (Ω) @ freq=990
100,100,-2,1.4359355802913857E-6-7.908584328122872E-11i,0.007179678144061558-3.954292297678803E-7i
100,96,-2,1.4359355674815501E-6-7.908584257571195E-11i,0.007179678144061557-3.954292297678803E-7i
97.29965511388943,96.91150112033716,-2,1.4359355712688468E-6-7.908584278430182E-11i,0.007179678144061557-3.954292297678803E-7i
100,100,-7,1.4359355592802987E-6-7.908584212401836E-11i,0.007179678144061557-3.954292297678803E-7i
96,100,-2,1.4359355818196813E-6-7.908584336540152E-11i,0.007179678144061558-3.954292297678803E-7i
99.99999999999999,91.99999999999997,-2,1.4359355306458751E-6-7.908584054694384E-11i,0.007179678144061557-3.954292297678803E-7i
97.02411831364554,93.86473974868002,-2,1.4359355525579418E-6-7.908584175377665E-11i,0.007179678144061558-3.9542922976788026E-7i
99.99999999999999,93.32329609359608,-7,1.4359355114225962E-6-7.90858394881991E-11i,0.007179678144061557-3.954292297678803E-7i
100,90.66164804679805,-4.5,1.4359354683953111E-6-7.908583711842063E-11i,0.007179678144061557-3.954292297678803E-7i
96.63539210980747,89.90319711370616,-2,1.4359355005143569E-6-7.908583888741493E-11i,0.007179678144061559-3.954292297678802E-7i
100.00000000000003,88.00000000000001,-2,1.4359354517565294E-6-7.908583620202026E-11i,0.007179678144061558-3.954292297678803E-7i
95.6587103165347,94.91175677616985,-7,1.4359355334053118E-6-7.908584069892308E-11i,0.00717967814406156-3.9542922976788015E-7i
93.73467688218989,96.30980752221316,-2,1.4359355733106342E-6-7.908584289675574E-11i,0.007179678144061559-3.954292297678802E-7i
93.58101462851664,91.88357791768232,-2,1.435935532294036E-6-7.908584063771823E-11i,0.007179678144061559-3.954292297678802E-7i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359354989730449E-6-7.908583880252537E-11i,0.00717967814406156-3.9542922976788015E-7i
93.32330637996576,100,-6.999999999999999,1.4359355592214038E-6-7.908584212077482E-11i,0.007179678144061557-3.954292297678803E-7i
91.99999999999999,100,-2,1.4359355874452748E-6-7.908584367523776E-11i,0.007179678144061558-3.954292297678803E-7i
90.66165318998287,100,-4.5,1.435935570472645E-6-7.908584274045021E-11i,0.007179678144061557-3.954292297678803E-7i
88,100,-2,1.4359355829338201E-6-7.908584342676407E-11i,0.007179678144061558-3.954292297678803E-7i
89.52572514978891,96.52143565296223,-2,1.43593557511336E-6-7.908584299604308E-11i,0.007179678144061558-3.9542922976788026E-7i
90.65153020677882,93.61027858938905,-2,1.43593554879081E-6-7.908584154629757E-11i,0.007179678144061557-3.954292297678803E-7i
100,86.6207001069764,-7,1.4359352799697376E-6-7.908582674066026E-11i,0.007179678144061557-3.954292297678803E-7i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.435935284347519E-6-7.908582698177191E-11i,0.007179678144061557-3.954292297678803E-7i
96.53589838486225,86.00000000000003,-2,1.4359353806178342E-6-7.908583228397284E-11i,0.007179678144061558-3.9542922976788026E-7i
84,100,-2,1.4359355836827398E-6-7.908584346801169E-11i,0.007179678144061558-3.954292297678803E-7i
85.85639114056366,96.56812931794116,-2,1.4359355754717479E-6-7.908584301578166E-11i,0.007179678144061558-3.9542922976788026E-7i
82,96.53589838486224,-2,1.4359355739491661E-6-7.908584293192357E-11i,0.007179678144061558-3.9542922976788026E-7i
