% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 17:45"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=50,ec.Z11 (Ω) @ freq=50
100,100,-2,1.435935584635898E-6-3.994234521228621E-12i,0.007179678165784122-1.9971173280978262E-8i
100,96,-2,1.4359355718260624E-6-3.994234485596459E-12i,0.007179678165784122-1.9971173280978262E-8i
97.29965511388943,96.91150112033716,-2,1.4359355756133582E-6-3.994234496131299E-12i,0.007179678165784122-1.997117328097826E-8i
100,100,-7,1.4359355636248126E-6-3.994234462783654E-12i,0.007179678165784122-1.9971173280978262E-8i
96,100,-2,1.4359355861641935E-6-3.994234525479767E-12i,0.007179678165784122-1.9971173280978262E-8i
99.99999999999999,91.99999999999997,-2,1.4359355349903884E-6-3.9942343831334236E-12i,0.007179678165784122-1.9971173280978262E-8i
97.02411831364554,93.86473974868002,-2,1.4359355569024536E-6-3.994234444084576E-12i,0.007179678165784122-1.997117328097826E-8i
99.99999999999999,93.32329609359608,-7,1.4359355157671097E-6-3.99423432966147E-12i,0.007179678165784122-1.997117328097826E-8i
100,90.66164804679805,-4.5,1.4359354727398234E-6-3.994234209975687E-12i,0.007179678165784123-1.997117328097826E-8i
96.63539210980747,89.90319711370616,-2,1.4359355048588702E-6-3.994234299318833E-12i,0.007179678165784121-1.9971173280978255E-8i
100.00000000000003,88.00000000000001,-2,1.435935456101043E-6-3.994234163692838E-12i,0.007179678165784122-1.9971173280978262E-8i
95.6587103165347,94.91175677616985,-7,1.4359355377498248E-6-3.994234390809149E-12i,0.00717967816578412-1.9971173280978255E-8i
93.73467688218989,96.30980752221316,-2,1.4359355776551466E-6-3.994234501810786E-12i,0.007179678165784121-1.9971173280978255E-8i
93.58101462851664,91.88357791768232,-2,1.4359355366385502E-6-3.99423438771799E-12i,0.007179678165784121-1.9971173280978255E-8i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359355033175586E-6-3.994234295031489E-12i,0.00717967816578412-1.9971173280978255E-8i
93.32330637996576,100,-6.999999999999999,1.4359355635659159E-6-3.994234462619829E-12i,0.007179678165784122-1.997117328097826E-8i
91.99999999999999,100,-2,1.4359355917897847E-6-3.994234541128054E-12i,0.007179678165784122-1.9971173280978262E-8i
90.66165318998287,100,-4.5,1.4359355748171553E-6-3.994234493916561E-12i,0.007179678165784123-1.997117328097826E-8i
88,100,-2,1.435935587278331E-6-3.994234528578884E-12i,0.007179678165784122-1.9971173280978262E-8i
89.52572514978891,96.52143565296223,-2,1.4359355794578705E-6-3.994234506825296E-12i,0.007179678165784122-1.997117328097826E-8i
90.65153020677882,93.61027858938905,-2,1.4359355531353232E-6-3.994234433605831E-12i,0.007179678165784123-1.997117328097826E-8i
100,86.6207001069764,-7,1.435935284314252E-6-3.99423368584638E-12i,0.007179678165784122-1.997117328097826E-8i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.435935288692032E-6-3.994233698023726E-12i,0.007179678165784122-1.9971173280978262E-8i
