% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 18:28"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=850,ec.Z11 (Ω) @ freq=850
100,100,-2,1.4359355814356368E-6-6.790198670974793E-11i,0.00717967814978282-3.3950994502093697E-7i
100,96,-2,1.4359355686258016E-6-6.790198610400124E-11i,0.00717967814978282-3.3950994502093697E-7i
97.29965511388943,96.91150112033716,-2,1.4359355724130983E-6-6.79019862830935E-11i,0.00717967814978282-3.395099450209369E-7i
100,100,-7,1.435935560424551E-6-6.79019857161835E-11i,0.00717967814978282-3.3950994502093697E-7i
96,100,-2,1.4359355829639322E-6-6.79019867820174E-11i,0.00717967814978282-3.3950994502093697E-7i
99.99999999999999,91.99999999999997,-2,1.4359355317901273E-6-6.790198436212954E-11i,0.00717967814978282-3.3950994502093697E-7i
97.02411831364554,93.86473974868002,-2,1.4359355537021937E-6-6.790198539829916E-11i,0.00717967814978282-3.395099450209369E-7i
99.99999999999999,93.32329609359608,-7,1.4359355125668484E-6-6.790198345310632E-11i,0.00717967814978282-3.395099450209369E-7i
100,90.66164804679805,-4.5,1.4359354695395618E-6-6.790198141844803E-11i,0.00717967814978282-3.395099450209369E-7i
96.63539210980747,89.90319711370616,-2,1.435935501658609E-6-6.790198293728154E-11i,0.00717967814978282-3.3950994502093687E-7i
100.00000000000003,88.00000000000001,-2,1.4359354529007826E-6-6.790198063163965E-11i,0.00717967814978282-3.3950994502093697E-7i
95.6587103165347,94.91175677616985,-7,1.4359355345495637E-6-6.790198449261673E-11i,0.00717967814978282-3.3950994502093687E-7i
93.73467688218989,96.30980752221316,-2,1.4359355744548857E-6-6.790198637964479E-11i,0.00717967814978282-3.3950994502093687E-7i
93.58101462851664,91.88357791768232,-2,1.4359355334382886E-6-6.790198444006717E-11i,0.00717967814978282-3.3950994502093687E-7i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359355001172977E-6-6.790198286439657E-11i,0.00717967814978282-3.3950994502093687E-7i
93.32330637996576,100,-6.999999999999999,1.435935560365656E-6-6.790198571339852E-11i,0.00717967814978282-3.395099450209369E-7i
91.99999999999999,100,-2,1.4359355885895254E-6-6.790198704803838E-11i,0.00717967814978282-3.3950994502093697E-7i
90.66165318998287,100,-4.5,1.4359355716168963E-6-6.7901986245443E-11i,0.00717967814978282-3.395099450209369E-7i
88,100,-2,1.43593558407807E-6-6.79019868347023E-11i,0.00717967814978282-3.3950994502093697E-7i
89.52572514978891,96.52143565296223,-2,1.4359355762576083E-6-6.790198646489133E-11i,0.00717967814978282-3.395099450209369E-7i
90.65153020677882,93.61027858938905,-2,1.4359355499350612E-6-6.790198522016044E-11i,0.00717967814978282-3.395099450209369E-7i
100,86.6207001069764,-7,1.4359352811139895E-6-6.790197250824968E-11i,0.00717967814978282-3.395099450209369E-7i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.435935285491772E-6-6.790197271526466E-11i,0.00717967814978282-3.3950994502093697E-7i
96.53589838486225,86.00000000000003,-2,1.4359353817620863E-6-6.790197726765947E-11i,0.00717967814978282-3.395099450209369E-7i
