% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 17:44"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=40,ec.Z11 (Ω) @ freq=40
100,100,-2,1.4359355846398572E-6-3.1953876169951232E-12i,0.007179678165803919-1.597693862484372E-8i
100,96,-2,1.4359355718300223E-6-3.1953875884893936E-12i,0.00717967816580392-1.597693862484372E-8i
97.29965511388943,96.91150112033716,-2,1.4359355756173185E-6-3.195387596917265E-12i,0.007179678165803919-1.597693862484372E-8i
100,100,-7,1.4359355636287685E-6-3.195387570239138E-12i,0.00717967816580392-1.597693862484372E-8i
96,100,-2,1.4359355861681521E-6-3.195387620396036E-12i,0.007179678165803919-1.597693862484372E-8i
99.99999999999999,91.99999999999997,-2,1.4359355349943475E-6-3.1953875065189623E-12i,0.00717967816580392-1.597693862484372E-8i
97.02411831364554,93.86473974868002,-2,1.4359355569064128E-6-3.1953875552798874E-12i,0.007179678165803919-1.5976938624843716E-8i
99.99999999999999,93.32329609359608,-7,1.4359355157710673E-6-3.1953874637414E-12i,0.007179678165803919-1.597693862484372E-8i
100,90.66164804679805,-4.5,1.4359354727437813E-6-3.1953873679927716E-12i,0.00717967816580392-1.597693862484372E-8i
96.63539210980747,89.90319711370616,-2,1.4359355048628294E-6-3.195387439467293E-12i,0.00717967816580392-1.5976938624843716E-8i
100.00000000000003,88.00000000000001,-2,1.4359354561050022E-6-3.195387330966496E-12i,0.007179678165803919-1.597693862484372E-8i
95.6587103165347,94.91175677616985,-7,1.4359355377537822E-6-3.1953875126595388E-12i,0.00717967816580392-1.5976938624843716E-8i
93.73467688218989,96.30980752221316,-2,1.435935577659104E-6-3.1953876014608515E-12i,0.00717967816580392-1.5976938624843716E-8i
93.58101462851664,91.88357791768232,-2,1.435935536642508E-6-3.1953875101866157E-12i,0.00717967816580392-1.5976938624843716E-8i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359355033215162E-6-3.195387436037415E-12i,0.00717967816580392-1.5976938624843716E-8i
93.32330637996576,100,-6.999999999999999,1.4359355635698736E-6-3.1953875701080886E-12i,0.007179678165803919-1.597693862484372E-8i
91.99999999999999,100,-2,1.435935591793744E-6-3.1953876329146677E-12i,0.007179678165803919-1.597693862484372E-8i
90.66165318998287,100,-4.5,1.4359355748211135E-6-3.1953875951454737E-12i,0.00717967816580392-1.597693862484372E-8i
88,100,-2,1.4359355872822902E-6-3.195387622875329E-12i,0.007179678165803919-1.597693862484372E-8i
89.52572514978891,96.52143565296223,-2,1.4359355794618277E-6-3.195387605472454E-12i,0.007179678165803919-1.5976938624843716E-8i
90.65153020677882,93.61027858938905,-2,1.4359355531392823E-6-3.1953875468968876E-12i,0.00717967816580392-1.597693862484372E-8i
100,86.6207001069764,-7,1.4359352843182095E-6-3.1953869486893206E-12i,0.007179678165803919-1.597693862484372E-8i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.4359352886959902E-6-3.1953869584311976E-12i,0.00717967816580392-1.597693862484372E-8i
96.53589838486225,86.00000000000003,-2,1.4359353849663065E-6-3.1953871726615497E-12i,0.007179678165803919-1.5976938624843716E-8i
84,100,-2,1.4359355880312106E-6-3.1953876245419035E-12i,0.007179678165803919-1.597693862484372E-8i
85.85639114056366,96.56812931794116,-2,1.4359355798202175E-6-3.1953876062699765E-12i,0.007179678165803919-1.5976938624843716E-8i
82,96.53589838486224,-2,1.4359355782976372E-6-3.1953876028817793E-12i,0.007179678165803919-1.5976938624843716E-8i
86.62072311103262,100,-6.999999999999999,1.4359355649905272E-6-3.1953875732694663E-12i,0.00717967816580392-1.5976938624843716E-8i
93.11912579884412,87.78038120661208,-2,1.435935451025296E-6-3.195387319662622E-12i,0.00717967816580392-1.5976938624843716E-8i
95.20379100355319,89.70809368657686,-7,1.435935432251779E-6-3.1953872778859146E-12i,0.007179678165803919-1.597693862484372E-8i
89.69355922574732,89.85356838763325,-2,1.4359355014556718E-6-3.195387431885349E-12i,0.00717967816580392-1.5976938624843716E-8i
89.59932221662788,93.73766664881231,-7,1.4359355283811168E-6-3.1953874918025395E-12i,0.00717967816580392-1.5976938624843723E-8i
87.64409799547643,93.34548299975327,-2,1.4359355545532433E-6-3.195387550043377E-12i,0.007179678165803919-1.5976938624843716E-8i
