% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 17:54"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=200,ec.Z11 (Ω) @ freq=200
100,100,-2,1.4359355844693835E-6-1.5976938083089746E-11i,0.007179678164951559-7.988469311478943E-8i
100,96,-2,1.435935571659548E-6-1.5976937940561085E-11i,0.007179678164951559-7.988469311478942E-8i
97.29965511388943,96.91150112033716,-2,1.435935575446846E-6-1.5976937982700483E-11i,0.0071796781649515595-7.988469311478942E-8i
100,100,-7,1.4359355634582984E-6-1.597693784930989E-11i,0.007179678164951559-7.988469311478942E-8i
96,100,-2,1.43593558599768E-6-1.597693810009433E-11i,0.007179678164951559-7.988469311478943E-8i
99.99999999999999,91.99999999999997,-2,1.4359355348238762E-6-1.597693753070896E-11i,0.007179678164951559-7.988469311478942E-8i
97.02411831364554,93.86473974868002,-2,1.4359355567359413E-6-1.597693777451357E-11i,0.0071796781649515595-7.988469311478942E-8i
99.99999999999999,93.32329609359608,-7,1.4359355156005953E-6-1.5976937316821127E-11i,0.0071796781649515595-7.988469311478942E-8i
100,90.66164804679805,-4.5,1.4359354725733096E-6-1.597693683807799E-11i,0.0071796781649515595-7.988469311478942E-8i
96.63539210980747,89.90319711370616,-2,1.435935504692357E-6-1.597693719545059E-11i,0.00717967816495156-7.988469311478942E-8i
100.00000000000003,88.00000000000001,-2,1.4359354559345305E-6-1.5976936652946615E-11i,0.007179678164951559-7.988469311478943E-8i
95.6587103165347,94.91175677616985,-7,1.4359355375833115E-6-1.597693756141186E-11i,0.00717967816495156-7.988469311478942E-8i
93.73467688218989,96.30980752221316,-2,1.4359355774886352E-6-1.5976938005418436E-11i,0.00717967816495156-7.988469311478942E-8i
93.58101462851664,91.88357791768232,-2,1.435935536472035E-6-1.59769375490472E-11i,0.00717967816495156-7.988469311478942E-8i
96.11395465859938,91.78641671762843,-4.499999999999968,1.435935503151045E-6-1.597693717830118E-11i,0.00717967816495156-7.988469311478942E-8i
93.32330637996576,100,-6.999999999999999,1.435935563399403E-6-1.5976937848654595E-11i,0.0071796781649515595-7.988469311478942E-8i
91.99999999999999,100,-2,1.4359355916232732E-6-1.597693816268751E-11i,0.007179678164951559-7.988469311478943E-8i
90.66165318998287,100,-4.5,1.4359355746506439E-6-1.597693797384152E-11i,0.0071796781649515595-7.988469311478942E-8i
88,100,-2,1.435935587111819E-6-1.597693811249081E-11i,0.007179678164951559-7.988469311478943E-8i
89.52572514978891,96.52143565296223,-2,1.4359355792913574E-6-1.5976938025476445E-11i,0.0071796781649515595-7.988469311478942E-8i
90.65153020677882,93.61027858938905,-2,1.43593555296881E-6-1.5976937732598586E-11i,0.0071796781649515595-7.988469311478942E-8i
100,86.6207001069764,-7,1.4359352841477384E-6-1.5976934741560773E-11i,0.0071796781649515595-7.988469311478942E-8i
100.00000000000003,84.00000000000003,-2.0000000000000004,1.435935288525519E-6-1.5976934790270166E-11i,0.007179678164951559-7.988469311478942E-8i
